stream_id,step,fraction,processed,true_f0,estimate
26,16,0.85,170000,161905,161238
26,17,0.9,180000,171309,170124
26,18,0.95,190000,180728,178436
26,19,1,200000,190097,188168
27,0,0.05,10000,9702,9760.24
27,1,0.1,20000,19328,19386.4
27,2,0.15,30000,28947,29082
27,3,0.2,40000,38524,38366.6
27,4,0.25,50000,48102,47463.2
27,5,0.3,60000,57615,56406.7
27,6,0.35,70000,67106,66966.5
27,7,0.4,80000,76634,77327.7
27,8,0.45,90000,86088,87052.3
27,9,0.5,100000,95533,96662.6
27,10,0.55,110000,104966,106276
27,11,0.6,120000,114398,114645
27,12,0.65,130000,123826,123879
27,13,0.7,140000,133261,133661
27,14,0.75,150000,142715,141851
27,15,0.8,160000,152136,151450
27,16,0.85,170000,161551,160490
27,17,0.9,180000,170930,169497
27,18,0.95,190000,180327,179583
27,19,1,200000,189693,190024
28,0,0.05,10000,9697,9653.29
28,1,0.1,20000,19313,19530.5
28,2,0.15,30000,28907,29092.6
28,3,0.2,40000,38464,38478.8
28,4,0.25,50000,47993,47646.9
28,5,0.3,60000,57520,56407.5
28,6,0.35,70000,67097,65615.1
28,7,0.4,80000,76621,76028.7
28,8,0.45,90000,86140,84812.5
28,9,0.5,100000,95623,93889.1
28,10,0.55,110000,105097,103389
28,11,0.6,120000,114544,113502
28,12,0.65,130000,123975,121889
28,13,0.7,140000,133375,131742
28,14,0.75,150000,142801,141018
28,15,0.8,160000,152211,149646
28,16,0.85,170000,161606,159325
28,17,0.9,180000,171013,169507
28,18,0.95,190000,180360,177690
28,19,1,200000,189763,187618
29,0,0.05,10000,9704,9358.05
29,1,0.1,20000,19324,20007.6
29,2,0.15,30000,28908,29850.4
29,3,0.2,40000,38526,39308.8
29,4,0.25,50000,48081,48263.2
29,5,0.3,60000,57634,57923.5
29,6,0.35,70000,67163,68210
29,7,0.4,80000,76681,78782.1
29,8,0.45,90000,86194,88154.3
29,9,0.5,100000,95665,98826.5
29,10,0.55,110000,105155,107446
29,11,0.6,120000,114598,116524
29,12,0.65,130000,124028,125368
29,13,0.7,140000,133487,134451
29,14,0.75,150000,142938,144104
29,15,0.8,160000,152344,152429
29,16,0.85,170000,161738,160495
29,17,0.9,180000,171147,170956
29,18,0.95,190000,180564,180291
29,19,1,200000,189919,191000
