stream_id,step,fraction,processed,true_f0,estimate
23,15,0.8,160000,152278,152939
23,16,0.85,170000,161708,164967
23,17,0.9,180000,171083,173845
23,18,0.95,190000,180470,180913
23,19,1,200000,189902,191790
24,0,0.05,10000,9758,9866.48
24,1,0.1,20000,19379,19277.4
24,2,0.15,30000,28989,28520.8
24,3,0.2,40000,38583,38389.4
24,4,0.25,50000,48174,48696.4
24,5,0.3,60000,57723,57929.2
24,6,0.35,70000,67206,67736.4
24,7,0.4,80000,76704,77910.4
24,8,0.45,90000,86203,87559.1
24,9,0.5,100000,95688,97104.2
24,10,0.55,110000,105154,105719
24,11,0.6,120000,114625,115408
24,12,0.65,130000,124095,124374
24,13,0.7,140000,133516,132878
24,14,0.75,150000,142976,145813
24,15,0.8,160000,152405,153924
24,16,0.85,170000,161814,161191
24,17,0.9,180000,171223,168373
24,18,0.95,190000,180614,181524
24,19,1,200000,190000,193634
25,0,0.05,10000,9716,9388.32
25,1,0.1,20000,19338,18864.2
25,2,0.15,30000,28934,28267.4
25,3,0.2,40000,38505,37882.6
25,4,0.25,50000,48072,47830.9
25,5,0.3,60000,57594,57689.6
25,6,0.35,70000,67102,66921.4
25,7,0.4,80000,76605,75059.5
25,8,0.45,90000,86121,84585.7
25,9,0.5,100000,95596,93794.6
25,10,0.55,110000,105058,100289
25,11,0.6,120000,114542,110704
25,12,0.65,130000,124023,121611
25,13,0.7,140000,133472,133790
25,14,0.75,150000,142919,143268
25,15,0.8,160000,152299,152112
25,16,0.85,170000,161726,162220
25,17,0.9,180000,171103,171878
25,18,0.95,190000,180502,180636
25,19,1,200000,189924,188273
26,0,0.05,10000,9702,9455.08
26,1,0.1,20000,19337,19358.6
26,2,0.15,30000,28938,30000.4
26,3,0.2,40000,38520,38750.2
26,4,0.25,50000,48103,48361.6
26,5,0.3,60000,57667,57924.7
26,6,0.35,70000,67215,67395.2
26,7,0.4,80000,76736,77632.8
26,8,0.45,90000,86246,88088
26,9,0.5,100000,95769,98034
26,10,0.55,110000,105270,106064
26,11,0.6,120000,114725,114165
26,12,0.65,130000,124157,124755
26,13,0.7,140000,133603,134480
26,14,0.75,150000,143027,143355
26,15,0.8,160000,152464,152030
26,16,0.85,170000,161905,164281
26,17,0.9,180000,171309,174478
26,18,0.95,190000,180728,185236
26,19,1,200000,190097,195592
27,0,0.05,10000,9702,9611.66
27,1,0.1,20000,19328,19578.2
27,2,0.15,30000,28947,29062.8
27,3,0.2,40000,38524,38927.6
27,4,0.25,50000,48102,47399.2
27,5,0.3,60000,57615,56509.6
27,6,0.35,70000,67106,65934.2
27,7,0.4,80000,76634,76873.4
27,8,0.45,90000,86088,87007.5
27,9,0.5,100000,95533,96211.2
27,10,0.55,110000,104966,104104
27,11,0.6,120000,114398,112775
27,12,0.65,130000,123826,122724
27,13,0.7,140000,133261,134293
27,14,0.75,150000,142715,142194
27,15,0.8,160000,152136,153846
27,16,0.85,170000,161551,160505
27,17,0.9,180000,170930,170044
27,18,0.95,190000,180327,179825
27,19,1,200000,189693,191314
28,0,0.05,10000,9697,9863.19
28,1,0.1,20000,19313,19158.5
28,2,0.15,30000,28907,28294.9
28,3,0.2,40000,38464,38049.4
28,4,0.25,50000,47993,47368.6
28,5,0.3,60000,57520,56754
28,6,0.35,70000,67097,65081.6
28,7,0.4,80000,76621,75561.5
28,8,0.45,90000,86140,84330.3
28,9,0.5,100000,95623,92468.8
28,10,0.55,110000,105097,101826
28,11,0.6,120000,114544,112966
28,12,0.65,130000,123975,120126
28,13,0.7,140000,133375,130112
28,14,0.75,150000,142801,138405
28,15,0.8,160000,152211,145343
28,16,0.85,170000,161606,154013
28,17,0.9,180000,171013,163853
28,18,0.95,190000,180360,173988
28,19,1,200000,189763,181339
29,0,0.05,10000,9704,9759.16
29,1,0.1,20000,19324,19181.6
29,2,0.15,30000,28908,29902
29,3,0.2,40000,38526,38346.3
29,4,0.25,50000,48081,48454
29,5,0.3,60000,57634,56551
29,6,0.35,70000,67163,67215.7
29,7,0.4,80000,76681,78143.5
29,8,0.45,90000,86194,86998
29,9,0.5,100000,95665,96359.9
29,10,0.55,110000,105155,107103
29,11,0.6,120000,114598,116676
29,12,0.65,130000,124028,124282
29,13,0.7,140000,133487,133369
29,14,0.75,150000,142938,141480
29,15,0.8,160000,152344,151531
29,16,0.85,170000,161738,161312
29,17,0.9,180000,171147,170055
29,18,0.95,190000,180564,176372
29,19,1,200000,189919,187593
